X-axis,Y-axis
693654.0545185673,1200343.8532392131
693653.9949945644,1200343.3567949634
693653.9354705616,1200342.8603507136
693653.8759465588,1200342.3639064638
693653.816422556,1200341.8674622143
693653.7568985531,1200341.3710179646
693653.6973745503,1200340.8745737148
693653.6378505474,1200340.378129465
693653.53705718,1200339.5374889623
693653.4872748582,1200339.0399734143
693653.4374925363,1200338.5424578665
693653.3877102145,1200338.0449423185
693653.3379278927,1200337.5474267707
693653.2881455708,1200337.0499112227
693653.238363249,1200336.5523956746
693653.1885809272,1200336.0548801268
693653.1387986053,1200335.5573645788
693653.0718453628,1200334.888245945
693653.0220630051,1200334.3907304008
693652.9722806476,1200333.8932148565
693652.92249829,1200333.395699312
693652.8727159324,1200332.8981837677
693652.8229335748,1200332.4006682234
693652.7731512173,1200331.903152679
693652.7233688596,1200331.4056371346
693652.6735865021,1200330.9081215903
693652.61205016,1200330.2931389292
693652.562267788,1200329.7956233863
693652.5124854159,1200329.2981078434
693652.462703044,1200328.8005923005
693652.412920672,1200328.3030767576
693652.3631382999,1200327.8055612147
693652.3133559279,1200327.3080456718
693652.2635735559,1200326.810530129
693652.2137911839,1200326.313014586
693652.1640088119,1200325.815499043
693652.0801150016,1200324.9770802842
693652.030332655,1200324.4795647387
693651.9805503081,1200323.9820491932
693651.9307679614,1200323.4845336478
693651.8809856147,1200322.9870181023
693651.831203268,1200322.4895025569
693651.7814209212,1200321.9919870116
693651.7316385745,1200321.4944714662
693651.6818562278,1200320.9969559207
693651.596880697,1200320.147726217
693651.5452741544,1200319.6503965831
693651.4936676117,1200319.1530669492
693651.4420610692,1200318.6557373153
693651.3904545265,1200318.1584076814
693651.338847984,1200317.6610780475
693651.2872414413,1200317.1637484136
693651.2356348988,1200316.6664187796
693651.1840283561,1200316.1690891457
693651.1324218136,1200315.6717595118
693651.0349735088,1200314.7326551413
693650.9833670179,1200314.235325502
693650.9317605271,1200313.7379958627
693650.8801540362,1200313.2406662235
693650.8285475454,1200312.7433365842
693650.7769410545,1200312.246006945
693650.7253345636,1200311.7486773056
693650.6649367125,1200311.1666256867
693650.6133302009,1200310.6692960495
693650.5617236893,1200310.1719664123
693650.5101171777,1200309.6746367754
693650.4585106662,1200309.1773071382
693650.4069041546,1200308.679977501
693650.355297643,1200308.1826478639
693650.3036911314,1200307.685318227
693650.2520846198,1200307.1879885898
693650.1965736788,1200306.653032141
693650.1449671652,1200306.155702504
693650.0933606516,1200305.6583728672
693650.041754138,1200305.1610432302
693649.9901476244,1200304.6637135933
693649.9385411108,1200304.1663839566
693649.8869345973,1200303.6690543196
693649.8353280837,1200303.1717246827
693649.7837215702,1200302.6743950457
693649.7321150565,1200302.1770654088
693649.6464640358,1200301.3516503968
693649.5948574382,1200300.8543207687
693649.5432508406,1200300.3569911404
693649.4916442431,1200299.8596615123
693649.4400376455,1200299.362331884
693649.3884310479,1200298.865002256
693649.3368244503,1200298.3676726276
693649.2852178528,1200297.8703429995
693649.2336112552,1200297.3730133711
693649.1820046576,1200296.875683743
693649.13039806,1200296.3783541147
693649.0787914624,1200295.8810244866
693649.0271848649,1200295.3836948585
693648.9655298974,1200294.7895297038
693648.9139232448,1200294.2922000813
693648.8623165922,1200293.7948704588
693648.8107099396,1200293.2975408363
693648.759103287,1200292.8002112138
693648.7074966345,1200292.3028815913
693648.6558899819,1200291.8055519687
693648.6042833293,1200291.3082223462
693648.5526766768,1200290.8108927237
693648.5010700241,1200290.3135631015
693648.4494633715,1200289.816233479
693648.397856719,1200289.3189038564
693648.3244155225,1200288.6111562948
693648.2728089787,1200288.1138266611
693648.2212024347,1200287.6164970272
693648.1695958909,1200287.1191673935
693648.117989347,1200286.6218377596
693648.0663828031,1200286.124508126
693647.9748443675,1200285.2423568864
693647.9232377246,1200284.745027263
693647.8716310816,1200284.2476976395
693647.8200244387,1200283.7503680158
693647.7684177958,1200283.2530383924
693647.7168111529,1200282.755708769
693647.6652045099,1200282.2583791455
693647.5889524049,1200281.5235429208
693647.5344076395,1200281.0265269568
693647.4798628743,1200280.5295109926
693647.4253181089,1200280.0324950286
693647.3707733435,1200279.5354790643
693647.3162285781,1200279.0384631003
693647.2616838128,1200278.5414471363
693647.1893039627,1200277.8819165523
693647.1347592891,1200277.384900578
693647.0802146156,1200276.887884604
693647.0256699419,1200276.3908686298
693646.9711252684,1200275.8938526555
693646.9165805947,1200275.3968366815
693646.8620359211,1200274.8998207073
693646.8074912475,1200274.402804733
693646.7529465739,1200273.905788759
693646.672440613,1200273.172211199
693646.6178958714,1200272.6751952323
693646.5633511299,1200272.1781792657
693646.5088063882,1200271.681163299
693646.4542616467,1200271.1841473323
693646.3997169051,1200270.6871313655
693646.3451721636,1200270.1901153987
693646.2906274219,1200269.6930994322
693646.2360826804,1200269.1960834654
693646.1519477714,1200268.4294395708
693646.0974029683,1200267.9324236107
693646.0428581653,1200267.435407651
693645.9883133622,1200266.9383916908
693645.9337685591,1200266.4413757308
693645.879223756,1200265.944359771
693645.824678953,1200265.447343811
693645.7701341499,1200264.950327851
693645.7155893468,1200264.453311891
693645.635721445,1200263.7255501302
693645.581176613,1200263.2285341735
693645.5266317809,1200262.7315182167
693645.4720869489,1200262.2345022599
693645.4175421168,1200261.737486303
693645.3629972849,1200261.2404703463
693645.3084524528,1200260.7434543895
693645.2539076208,1200260.2464384327
693645.1993627887,1200259.749422476
693645.1039717669,1200258.880213456
693645.049426948,1200258.3831974978
693644.9948821291,1200257.8861815396
693644.9403373102,1200257.3891655812
693644.8857924914,1200256.892149623
693644.8312476724,1200256.3951336648
693644.7767028535,1200255.8981177066
693644.7221580347,1200255.4011017485
693644.6676116989,1200254.9040719678
693644.6130669129,1200254.407056006
693644.5585221268,1200253.9100400442
693644.5039773408,1200253.4130240823
693644.4494325547,1200252.9160081204
693644.3948877687,1200252.4189921587
693644.3403429826,1200251.9219761968
693644.2857981966,1200251.424960235
693644.2312534106,1200250.9279442732
693644.1453037806,1200250.1447651444
693644.0907589602,1200249.6477491863
693644.03621414,1200249.1507332283
693643.9816693197,1200248.6537172701
693643.9271244993,1200248.1567013122
693643.872579679,1200247.659685354
693643.8180348588,1200247.162669396
693643.7250043331,1200246.314969182
693643.6704594822,1200245.8179532273
693643.6159146313,1200245.3209372726
693643.5613697805,1200244.823921318
693643.5068249296,1200244.3269053632
693643.4522800788,1200243.8298894083
693643.3977352278,1200243.3328734536
693643.343190377,1200242.835857499
693643.2886455262,1200242.3388415442
693643.2124060595,1200241.6441429488
693643.157861174,1200241.1471269978
693643.1033162884,1200240.6501110469
693643.0487714029,1200240.1530950961
693642.9942265174,1200239.6560791451
693642.9396816317,1200239.1590631942
693642.8851367462,1200238.6620472432
693642.8305918607,1200238.1650312925
693642.7760469752,1200237.6680153415
693642.7174136958,1200237.133745724
693642.6628687782,1200236.6367297766
693642.6083238608,1200236.1397138294
693642.5537789433,1200235.642697882
693642.4992340257,1200235.1456819344
693642.4446891082,1200234.6486659872
693642.3901441908,1200234.1516500397
693642.3355992732,1200233.6546340922
693642.2810543557,1200233.1576181448
693642.1784051262,1200232.2222733614
693642.1238602165,1200231.7252574132
693642.0693153066,1200231.2282414648
693642.0147703969,1200230.7312255166
693641.9602254871,1200230.2342095685
693641.9056805774,1200229.73719362
693641.8511356675,1200229.240177672
693641.7965907578,1200228.7431617237
693641.742045848,1200228.2461457753
693641.6861339482,1200227.736673745
693641.6315889858,1200227.2396578025
693641.5770440234,1200226.7426418602
693641.5224990611,1200226.2456259176
693641.4679540987,1200225.7486099752
693641.4134091364,1200225.2515940326
693641.358864174,1200224.7545780903
693641.3043192116,1200224.2575621477
693641.2060253862,1200223.3619047643
693641.1514804685,1200222.8648888168
693641.0969355507,1200222.3678728696
693641.0423906328,1200221.8708569221
693640.987845715,1200221.3738409749
693640.9333007972,1200220.8768250274
693640.8787558795,1200220.3798090802
693640.770571277,1200219.394025714
693640.7160262389,1200218.8970097797
693640.6614812008,1200218.3999938455
693640.6069361627,1200217.9029779113
693640.5523911247,1200217.4059619773
693640.4978460865,1200216.908946043
693640.4433010485,1200216.411930109
693640.3887560103,1200215.9149141747
693640.3342109723,1200215.4178982405
693640.2509819936,1200214.6595134265
693640.1964370235,1200214.1624974848
693640.1418920533,1200213.6654815432
693640.0873470831,1200213.1684656015
693640.032802113,1200212.67144966
693639.9782571428,1200212.1744337184
693639.9237121727,1200211.6774177768
693639.8691672025,1200211.1804018351
693639.8146222323,1200210.6833858935
693639.7489997535,1200210.085431252
693639.6944547247,1200209.5884153168
693639.6399096958,1200209.0913993816
693639.585364667,1200208.5943834463
693639.5308196383,1200208.0973675111
693639.4762746094,1200207.600351576
693639.4217295806,1200207.1033356409
693639.3671845518,1200206.6063197055
693639.2637159148,1200205.6635103885
693639.2091709321,1200205.1664944482
693639.1546259492,1200204.669478508
693639.1000809665,1200204.1724625677
693639.0455359836,1200203.6754466274
693638.9909910009,1200203.1784306872
693638.936446018,1200202.681414747
693638.864381042,1200202.0247559668
693638.7891967476,1200201.5304409643
693638.7140124531,1200201.0361259615
693638.6388281587,1200200.5418109589
693638.5636438642,1200200.047495956
693638.4884595699,1200199.5531809535
693638.4132752754,1200199.0588659507
693638.338090981,1200198.564550948
693638.2629066865,1200198.0702359455
693638.1877223921,1200197.5759209427
693638.1096459042,1200197.0625906035
693638.0341132531,1200196.5683287107
693637.9585806022,1200196.074066818
693637.8830479512,1200195.5798049252
693637.8075153001,1200195.0855430325
693637.7319826492,1200194.5912811398
693637.6564499981,1200194.097019247
